	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
3039	3102	3179	3318	4097	AT1G50390	1.584962500721156	0.0	1.584962500721156	0.0	1.0	2.0	0.0	0.0	4
3069	3132	3209	3348	4135	AT1G50760	0.0	0.0	1.584962500721156	0.0	1.584962500721156	0.0	1.0	1.0	4
3108	3174	3253	3394	4204	AT1G51460	1.584962500721156	0.0	1.0	6.247927513443584	0.0	0.0	0.0	4.459431618637297	4
3135	3203	3282	3423	4237	AT1G51780	1.584962500721156	2.807354922057604	0.0	0.0	4.169925001442312	0.0	4.3219280948873635	0.0	4
3162	3230	3313	3456	4286	AT1G52245	0.0	1.0	0.0	2.807354922057604	1.584962500721156	0.0	0.0	1.0	4
3200	3269	3353	3496	4336	AT1G52690	1.584962500721156	1.584962500721156	2.0	0.0	3.169925001442312	0.0	0.0	0.0	4
3290	3360	3445	3594	4447	AT1G53655	0.0	0.0	1.0	2.3219280948873617	0.0	0.0	1.0	2.3219280948873617	4
3318	3390	3476	3630	4498	AT1G54095	1.0	0.0	0.0	4.3219280948873635	0.0	1.0	0.0	6.0443941193584525	4
3341	3413	3499	3653	4524	AT1G54330	0.0	1.0	2.0	0.0	2.0	1.0	0.0	0.0	4
3377	3452	3542	3697	4579	AT1G54930	2.0	2.0	2.3219280948873617	0.0	0.0	0.0	1.0	0.0	4
3400	3475	3566	3725	4614	AT1G55230	1.584962500721156	0.0	1.584962500721156	0.0	2.5849625007211556	1.0	0.0	0.0	4
3515	3591	3690	3852	4769	AT1G56555	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	4
3531	3607	3707	3869	4790	AT1G57570	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	4
3539	3615	3715	3877	4800	AT1G57670	1.0	1.0	1.0	1.584962500721156	0.0	0.0	0.0	0.0	4
3554	3631	3731	3894	4824	AT1G58007	1.0	0.0	1.584962500721156	1.0	0.0	1.0	0.0	0.0	4
3651	3730	3831	4003	4994	AT1G60470	1.584962500721156	0.0	2.0	0.0	1.584962500721156	1.0	0.0	0.0	4
3681	3762	3863	4036	5036	AT1G60920	1.0	0.0	1.0	0.0	1.0	1.584962500721156	0.0	0.0	4
3724	3808	3911	4086	5101	AT1G61440	0.0	0.0	2.3219280948873617	1.584962500721156	2.0	0.0	1.584962500721156	0.0	4
3744	3829	3933	4109	5132	AT1G61700	0.0	1.0	0.0	0.0	1.584962500721156	0.0	1.0	1.584962500721156	4
3849	3935	4040	4223	5270	AT1G63030	1.0	2.3219280948873617	1.584962500721156	0.0	0.0	0.0	1.584962500721156	0.0	4
3921	4010	4116	4305	5369	AT1G63990	0.0	2.0	1.0	0.0	1.584962500721156	0.0	0.0	1.0	4
3930	4020	4126	4317	5383	AT1G64107	0.0	2.0	1.584962500721156	0.0	3.169925001442312	0.0	1.0	0.0	4
4022	4112	4219	4416	5503	AT1G65200	0.0	1.0	0.0	0.0	1.584962500721156	0.0	1.0	1.0	4
4033	4125	4232	4430	5524	AT1G65360	1.0	3.584962500721156	0.0	0.0	1.0	0.0	2.0	0.0	4
4150	4245	4355	4562	5696	AT1G67020	1.0	0.0	1.0	2.5849625007211556	0.0	0.0	0.0	1.0	4
4260	4361	4476	4689	5842	AT1G68350	0.0	0.0	2.3219280948873617	1.0	1.584962500721156	0.0	1.0	0.0	4
4374	4477	4595	4810	5985	AT1G69660	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	4
4436	4540	4658	4878	6066	AT1G70440	1.584962500721156	1.584962500721156	0.0	1.0	0.0	0.0	0.0	1.0	4
4531	4638	4759	4985	6192	AT1G71740	1.0	0.0	2.3219280948873617	0.0	1.584962500721156	1.584962500721156	0.0	0.0	4
4738	4850	4975	5209	6436	AT1G74035	1.0	0.0	1.0	1.584962500721156	0.0	1.0	0.0	0.0	4
4741	4853	4978	5212	6440	AT1G74055	0.0	0.0	0.0	1.584962500721156	1.0	0.0	1.0	2.0	4
4748	4860	4986	5220	6450	AT1G74140	1.584962500721156	1.0	0.0	0.0	1.0	0.0	1.0	0.0	4
4780	4893	5019	5253	6486	AT1G74480	0.0	2.5849625007211556	4.0	0.0	0.0	2.3219280948873617	2.3219280948873617	0.0	4
4926	5041	5174	5411	6657	AT1G76220	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	4
