	Unnamed: 0	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
2370	2760	AT1G27650	8.159871336778389	8.379378367071261	9.467605550082997	10.705632387361415	9.428360172704293	8.515699838284043	8.03342300153745	10.967226258835993	0
2371	2761	AT1G27660	6.3750394313469245	5.584962500721158	7.7142455176661215	5.8826430493618425	6.658211482751795	6.857980995127572	4.392317422778762	6.169925001442312	0
2372	2762	AT1G27670	1.584962500721156	2.0	1.584962500721156	5.459431618637297	1.584962500721156	0.0	1.0	5.584962500721158	1
2373	2763	AT1G27680	6.599912842187128	7.599912842187128	7.2761244052742375	6.569855608330947	7.426264754702097	6.523561956057013	6.8703647195834066	6.189824558880018	0
2374	2764	AT1G27690	7.2384047393250786	7.491853096329675	8.066089190457772	7.4998458870832065	8.290018846932618	7.219168520462161	6.794415866350106	7.383704292474053	0
2375	2765	AT1G27695	6.129283016944966	6.285402218862249	7.228818690495879	7.491853096329675	7.592457037268081	6.129283016944966	5.857980995127572	7.434628227636725	0
2376	2766	AT1G27700	6.7142455176661215	6.321928094887363	8.238404739325079	6.807354922057604	7.965784284662088	7.159871336778389	6.087462841250337	5.930737337562888	0
2377	2767	AT1G27710	0.0	2.3219280948873617	0.0	1.0	1.0	0.0	0.0	0.0	5
2378	2768	AT1G27720	4.584962500721156	3.9068905956085187	4.523561956057013	4.0	5.044394119358453	4.169925001442312	4.0	3.700439718141092	0
2379	2769	AT1G27730	7.86418614465428	8.066089190457772	7.754887502163467	8.252665432450247	9.618385502258606	9.142107057302553	8.164906926675688	9.560332834212444	0
2380	2771	AT1G27750	8.535275376620802	8.661778097771986	9.620219825507489	10.10459875356437	9.661778097771988	8.59618975614441	7.9886846867721655	10.086136225027307	0
2381	2772	AT1G27752	8.787902559391433	9.03342300153745	9.9901039638575	10.320800548881637	9.957102041562287	9.131856960608793	8.330916878114618	10.715961990255146	0
2382	2773	AT1G27760	9.383704292474054	9.405141463136344	11.084808387804364	9.337621901992508	10.648357582009666	10.043027283594546	8.839203788096944	9.521600439723727	0
2383	2774	AT1G27770	10.35974956032233	11.398743691938193	11.33706433868474	9.207014320177533	10.985841937003341	9.23840473932508	10.410451351503994	10.570804437724496	0
2384	2775	AT1G27820	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	6
2385	2776	AT1G27840	7.467605550082997	7.774787059601174	8.661778097771986	8.51175265376738	8.640244936222345	7.5774288280357505	7.076815597050833	8.335390354693924	0
2386	2777	AT1G27850	8.991521846075695	8.93663793900257	10.171176797651773	9.45532722030456	9.971543553950774	9.269126679149418	8.238404739325079	9.618385502258606	0
2387	2778	AT1G27860	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5
2388	2780	AT1G27880	4.321928094887364	3.700439718141092	5.8826430493618425	3.700439718141092	5.044394119358453	4.459431618637297	2.584962500721156	2.3219280948873617	0
2389	2781	AT1G27890	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6
2390	2782	AT1G27900	7.721099188707186	8.219168520462162	8.980139577639157	8.823367240046235	9.103287808412023	8.022367813028454	7.6293566200796095	8.562242424221072	0
2391	2783	AT1G27910	7.820178962415187	8.071462362556622	9.290018846932618	8.507794640198696	9.098032082960527	8.357552004618084	8.076815597050832	8.071462362556622	0
2392	2784	AT1G27920	7.918863237274595	7.965784284662088	9.269126679149418	9.807354922057604	9.157346935362844	8.348728154231077	7.285402218862249	9.665335917185175	0
2393	2785	AT1G27930	8.577428828035746	9.202123823830462	9.03342300153745	9.808964174919259	9.78953364497036	8.366322214245816	8.455327220304559	9.29920801838728	0
2394	2786	AT1G27940	4.643856189774724	3.4594316186372973	5.930737337562888	0.0	4.906890595608519	5.459431618637297	2.807354922057604	0.0	2
